,PLOT,Measurement Year,Annual Diameter Growth,Annual Height Growth,Annual_BAG,TREE NR
0,1,2019,,,0.0,43
1,1,2020,3.1141755695903672,2.2313407507968366,0.212823950189462,43
2,1,2021,3.2266017361528294,3.549152198726421,0.2846040712414916,41
3,1,2022,2.0833174486803516,0.8903638196480939,0.2187152322196144,42
4,1,2023,1.0916327368752494,-0.05290111671284233,0.12789709932488932,42
5,10,2020,-3.040497137404591,15.578888358778624,-0.20509845277671604,46
6,10,2021,2.2129614745011086,4.570686668514412,0.2614663839265159,44
7,10,2022,1.3449318856217967,-1.8474339088211493,0.17216767674900813,44
8,10,2023,0.27282650546742643,0.17579027414138304,0.040435853198849354,43
9,100,2018,2.4505507075747337,1.770908069284891,0.31624307919826034,76
10,100,2019,4.058333333333333,4.148413161993769,0.285869348296289,48
11,100,2021,2.442401215805471,1.8368471953578336,0.25132501529278867,47
12,100,2023,1.313311808975193,1.4371771346278919,0.17563047064082735,47
13,101,2018,48.25387347346666,97.4739362576666,2.3432083230861815,64
14,101,2019,4.153410107608589,4.526271534356923,0.2441599302253973,42
15,101,2021,2.866578271008153,2.1531457762421065,0.25632752858143376,42
16,101,2023,1.464595030151799,1.4430754834684965,0.1759929164596469,42
17,102,2018,,,,63
18,102,2019,3.21103906719179,3.68543603984804,0.19554374429122467,48
19,102,2021,2.391370159646739,1.966505279931266,0.20786591158528864,46
20,102,2023,1.2284864643150122,0.2708201867861425,0.14431933711338638,46
21,103,2018,117.80495769491462,101.1219270728107,7.445086922868463,65
22,103,2019,3.8127978056426333,4.166470741901777,0.24335309562124252,45
23,103,2021,2.8448243442141283,1.3954090247172837,0.2811878001451374,46
24,103,2023,1.4488925606772005,1.5640158241080226,0.19190015948143296,46
25,104,2018,,,,73
26,104,2019,2.981632653061225,3.9256605463502012,0.1993318749443332,49
27,104,2021,2.6223844778958414,1.8749677681850978,0.256885600166086,48
28,104,2023,1.4219060670816688,1.2273413546408996,0.1888989940726364,47
29,105,2019,,inf,,42
30,105,2021,2.485134621476085,1.7707162654418753,0.21666257914864243,41
31,105,2023,1.3304776200873363,0.4319732532751092,0.15425618887385087,40
32,106,2018,70.26074910966203,42.771543034377274,3.868864319271534,64
33,106,2019,2.855304663009404,3.8082655760188087,0.18846601261034246,48
34,106,2021,2.2843843844713883,1.3502336814135767,0.22339328918606818,49
35,106,2023,1.101386574074074,1.6041689814814815,0.13473851679140356,48
36,107,2018,,,,64
37,107,2019,3.851076871422731,4.5845388022028,0.28532511610194894,47
38,107,2021,2.3330929357926524,1.0755936423659191,0.258002735112207,49
39,107,2023,1.0975144927536231,1.5145229468599033,0.14411884470678318,46
40,108,2018,,,,72
41,108,2019,2.947725605282465,3.5531056159541117,0.21359787180491652,47
42,108,2021,2.2977871694841783,0.9757943216298222,0.22540745161902748,45
43,108,2023,1.1631505632073194,1.573192454352767,0.15145057196486722,46
44,109,2018,145.5474687666941,68.83462716104233,11.535690042877055,76
45,109,2019,3.0694387509042684,3.781751115264046,0.24983300024038957,52
46,109,2021,2.3126531862745097,0.832275390625,0.2654958586305833,51
47,109,2023,1.0373700420191942,1.4802995000549282,0.14923081955950818,52
48,11,2019,2.8784912335256396,2.0375873097289454,0.22835113387368766,41
49,11,2020,2.0626427664974623,1.0892607868020305,0.16464545591344598,40
50,11,2021,2.732693597560975,3.307294207317073,0.2599410928030661,40
51,11,2022,1.7639298961424335,-1.043184347181009,0.20358255744684725,40
52,11,2023,1.407908813041263,0.11629202750891494,0.17010624141628738,39
53,110,2019,2.6255576798774736,1.5147671431672871,0.2007519968694522,35
54,110,2021,2.6353278565350116,1.4239425328742976,0.18331244738341806,35
55,110,2023,inf,-inf,inf,35
56,111,2018,,-inf,,36
57,111,2019,3.3933571325290566,2.521049726980108,0.12146700629348256,32
58,111,2021,2.9129638671875,2.28875732421875,0.14372356798853655,28
59,111,2023,2.4259814814814815,0.7440277777777777,0.15798151760782372,24
60,112,2018,,,,41
61,112,2019,3.6778284411513256,3.417604730692505,0.16354458226507357,33
62,112,2021,2.465841027462121,2.363517992424242,0.16547762449308953,33
63,112,2023,1.5423413125336198,0.37658015061861216,0.13740913932765966,33
64,113,2019,inf,inf,inf,45
65,113,2021,2.0439626736111114,0.7926432291666666,0.21775272686034036,45
66,113,2023,1.1387382716049381,1.2325308641975308,0.15154762922838677,45
67,114,2018,61.34707671395188,44.17565529809721,4.904724422009675,74
68,114,2019,2.588108833241607,4.233945033021464,0.17855998289497305,46
69,114,2021,2.218924209871657,0.8260304178209985,0.20971073363908643,46
70,114,2023,1.0951618357487922,1.2704347826086957,0.1336743476585606,46
71,1141,2022,8.684550939427682,7.057606578299441,0.9659267752383688,63
72,1141,2023,2.1950226039783,1.133838155515371,0.12899650161889528,63
73,1142,2022,3.114053428978194,1.837035045671445,0.13419482458401394,42
74,1142,2023,-inf,-inf,-inf,43
75,1143,2022,4.612998344115747,3.319864121734291,0.1510603321844291,32
76,1143,2023,,,,34
77,1144,2022,45.80068646688831,43.67999638650936,1.0600744772651616,45
78,1144,2023,23.812140652915385,14.007577757024524,0.5627667298936068,47
79,1145,2022,inf,inf,inf,66
80,1145,2023,4.52489184356253,3.8520924665436085,0.30956063664299865,66
81,1146,2022,inf,inf,inf,58
82,1146,2023,-inf,inf,-inf,58
83,1147,2022,33.266670408621465,9.362230579254604,0.22529107496803075,17
84,1147,2023,-inf,-inf,-inf,18
85,1148,2022,2.6522888684897095,1.7570041237881278,0.11821732699388923,48
86,1148,2023,1.969514373883385,1.2358900438525255,0.0703502208806578,47
87,1149,2022,-3.343068028738212,-3.98179538991169,-0.09140809648121888,51
88,1149,2023,2.1977323753929054,1.143513321359078,0.09005277916170447,51
89,115,2018,-0.15417692881297107,-0.07927992310730979,-0.00794700230036364,53
90,115,2019,3.9662216288384506,2.91235536270583,0.24338984447016515,42
91,115,2021,2.6180228758169934,2.3986227824463118,0.2393904312710376,42
92,115,2023,1.2826590813316479,0.3431113042562158,0.15642865402167244,42
93,1150,2022,9.708570059189096,6.593109195119513,0.6775321842718185,40
94,1150,2023,2.544579754002343,1.8600034166341273,0.08386572848934776,39
95,1151,2022,inf,inf,inf,65
96,1151,2023,27.215570593962997,8.446628529698149,2.4669735540325783,65
97,1152,2022,-9.759958319392092,-24.89762647790539,0.40241272552126833,62
98,1152,2023,2.6301808406647114,1.5702239125122188,0.13948385187607928,62
99,1153,2022,1.1362123917058773,0.43896681029967066,0.06289287694051175,56
100,1153,2023,3.4325303411953283,1.4042929929013053,0.23067404902176616,55
101,1154,2022,2.948645486342437,2.3369551548967356,0.3138165327616397,76
102,1154,2023,2.523769620253165,3.172281012658228,0.27039036436932945,75
103,1155,2022,-30.95155555555555,-34.113981060606065,-1.0870494066806242,75
104,1155,2023,-inf,-inf,-inf,76
105,1156,2022,5.5510841159657005,6.3624193548387105,0.1929334560114519,31
106,1156,2023,,,,47
107,1157,2022,2.634925266175266,3.1035780098280097,0.09843511355338555,37
108,1157,2023,2.5031513047138048,2.66328125,0.09562439962605736,36
109,1158,2022,-23.26047467492682,-17.732242239090475,-0.585364826711396,74
110,1158,2023,2.824725985431275,2.6152337633603375,0.1888594369541557,74
111,1159,2022,3.6525000000000003,3.6447943037974686,0.04192465735634439,12
112,1159,2023,inf,inf,inf,14
113,116,2018,0.11121242549883391,0.282763507385333,0.006052634184744525,51
114,116,2019,3.3904335209206535,1.976741089978682,0.17284481567519652,37
115,116,2021,2.6756844461022005,2.3875442931741886,0.1979709645979769,35
116,116,2023,1.7392857142857143,0.36170986093552465,0.17191691605426343,35
117,1160,2022,7.9002737827009035,4.9367938929695985,0.7296997128399982,51
118,1160,2023,,,,55
